confidence,brand,domain,source,other_candidates,slug,seller_page
high,Flower Aura,floweraura.com,buyhatke,,flower-aura-gift-card,https://buyhatke.com/gift-cards/flower-aura-gift-card
high,Forever New,forevernew.co.in,maximize,,forever-new,https://www.maximize.money/gift-cards/Forever New/351
high,Forever New,forevernew.co.in,buyhatke,,forever-new-gift-card,https://buyhatke.com/gift-cards/forever-new-gift-card
high,Foxtale,foxtale.in,gyftr,,foxtale,https://www.gyftr.com/foxtale
high,Foxtale,foxtale.in,maximize,,foxtale,https://www.maximize.money/gift-cards/Foxtale/255
high,Foxtale,foxtale.in,buyhatke,,foxtale-gift-card,https://buyhatke.com/gift-cards/foxtale-gift-card
high,Freecultr,freecultr.com,gyftr,,freecultr,https://www.gyftr.com/freecultr
high,Gaana,gaana.com,gyftr,,gaanaplus,https://www.gyftr.com/gaanaplus
high,Gaana,gaana.com,buyhatke,,gaana-gift-card,https://buyhatke.com/gift-cards/gaana-gift-card
high,Global Desi,globaldesi.in,buyhatke,andindia.com,global-desi-gift-card,https://buyhatke.com/gift-cards/global-desi-gift-card
high,GoBaby Travel,gobabytravel.com,buyhatke,,gobaby-travel-gift-card,https://buyhatke.com/gift-cards/gobaby-travel-gift-card
high,Goibibo,goibibo.com,buyhatke,,goibibo-gift-card,https://buyhatke.com/gift-cards/goibibo-gift-card
high,Headout,headout.com,maximize,,headout,https://www.maximize.money/gift-cards/Headout/1030
high,Healthians,healthians.com,gyftr,,healthians,https://www.gyftr.com/healthians
high,Healthians,healthians.com,buyhatke,,healthians-gift-card,https://buyhatke.com/gift-cards/healthians-gift-card
high,HealthKart,healthkart.com,gyftr,,healthkart,https://www.gyftr.com/healthkart
high,HealthKart,healthkart.com,maximize,,healthkart,https://www.maximize.money/gift-cards/HealthKart/524
high,HealthKart,healthkart.com,buyhatke,,healthkart-gift-card,https://buyhatke.com/gift-cards/healthkart-gift-card
high,Hidesign,hidesign.com,gyftr,,hidesign,https://www.gyftr.com/hidesign
high,Hidesign,hidesign.com,buyhatke,,hidesign-gift-card,https://buyhatke.com/gift-cards/hidesign-gift-card
high,Hoichoi,hoichoi.tv,gyftr,,hoichoi,https://www.gyftr.com/hoichoi
high,Hoichoi,hoichoi.tv,buyhatke,,hoichoi-gift-card,https://buyhatke.com/gift-cards/hoichoi-gift-card
high,Hopscotch,hopscotch.in,maximize,,hopscotch,https://www.maximize.money/gift-cards/Hopscotch/1076
high,Hyperice,hyperice.in,gyftr,,hyperice,https://www.gyftr.com/hyperice
high,IGP,igp.com,gyftr,,igp,https://www.gyftr.com/igp
high,IGP,igp.com,buyhatke,,igp-gift-card,https://buyhatke.com/gift-cards/igp-gift-card
high,Ikea,ikea.in,gyftr,ikea.com,ikea,https://www.gyftr.com/ikea
high,Ikea,ikea.com,buyhatke,,ikea-gift-card,https://buyhatke.com/gift-cards/ikea-gift-card
high,Innovist,innovist.com,buyhatke,,innovist-gift-card,https://buyhatke.com/gift-cards/innovist-gift-card
high,Instafab Plus,instafabplus.com,gyftr,,instafab-plus,https://www.gyftr.com/instafab-plus
high,Instafab Plus,instafabplus.com,buyhatke,,instafab-plus-gift-card,https://buyhatke.com/gift-cards/instafab-plus-gift-card
high,INTERMILES,intermiles.com,gyftr,,intermiles,https://www.gyftr.com/intermiles
high,IRCTC,irctc.co.in,gyftr,,gv-irctc,https://www.gyftr.com/gv-irctc
high,Ixigo,ixigo.com,gyftr,,ixigo,https://www.gyftr.com/ixigo
high,Ixigo,ixigo.com,buyhatke,,ixigo-gift-card,https://buyhatke.com/gift-cards/ixigo-gift-card
high,JioHotstar,jiohotstar.com,gyftr,hotstar.com,jio-hotstar,https://www.gyftr.com/jio-hotstar
high,JioHotstar,jiohotstar.com,maximize,hotstar.com,jiohotstar,https://www.maximize.money/gift-cards/JioHotstar/303
high,JioHotstar,jiohotstar.com,buyhatke,hotstar.com,jiohotstar-gift-card,https://buyhatke.com/gift-cards/jiohotstar-gift-card
high,Jockey,jockey.in,gyftr,jockeyindia.com,jockey,https://www.gyftr.com/jockey
high,Jockey,jockey.in,buyhatke,jockeyindia.com,jockey-gift-card,https://buyhatke.com/gift-cards/jockey-gift-card
high,Just Lil Things,justlilthings.in,maximize,,just-lil-things,https://www.maximize.money/gift-cards/Just Lil Things/1094
high,Just Lil Things,justlilthings.in,buyhatke,,just-lil-things-gift-card,https://buyhatke.com/gift-cards/just-lil-things-gift-card
high,Kama Ayurveda,kamaayurveda.in,gyftr,,kama-ayurveda,https://www.gyftr.com/kama-ayurveda
high,Kama Ayurveda,kamaayurveda.in,buyhatke,,kama-ayurveda-gift-card,https://buyhatke.com/gift-cards/kama-ayurveda-gift-card
high,KFC,kfc.co.in,gyftr,,kfc,https://www.gyftr.com/kfc
high,KFC,online.kfc.co.in,buyhatke,kfc.co.in,kfc-gift-card,https://buyhatke.com/gift-cards/kfc-gift-card
high,Kiehl s,kiehls.in,buyhatke,,kiehl-s-gift-card,https://buyhatke.com/gift-cards/kiehl-s-gift-card
high,Kimirica,kimirica.shop,gyftr,,kimirica,https://www.gyftr.com/kimirica
high,Kimirica,kimirica.shop,maximize,,kimirica,https://www.maximize.money/gift-cards/Kimirica/846
high,Kimirica,kimirica.shop,buyhatke,,kimirica-gift-card,https://buyhatke.com/gift-cards/kimirica-gift-card
high,Klook,klook.com,gyftr,,klook,https://www.gyftr.com/klook
high,Klook,klook.com,buyhatke,,klook-gift-card,https://buyhatke.com/gift-cards/klook-gift-card
high,Leaf Studios,leafstudios.in,buyhatke,,leaf-studios-gift-card,https://buyhatke.com/gift-cards/leaf-studios-gift-card
high,Lee,lee.in,buyhatke,aceturtle.com,lee-gift-card,https://buyhatke.com/gift-cards/lee-gift-card
high,Lego,lego.mybrickhouse.com,gyftr,mybrickhouse.com,lego,https://www.gyftr.com/lego
high,LENSKART,lenskart.com,gyftr,,lenskart,https://www.gyftr.com/lenskart
high,Libas,libas.in,gyftr,,libas,https://www.gyftr.com/libas
high,Lionsgate Play,lionsgateplay.com,gyftr,,lions-gate,https://www.gyftr.com/lions-gate
high,LIONSGATE PLAY,lionsgateplay.com,maximize,,lionsgate-play,https://www.maximize.money/gift-cards/LIONSGATE PLAY/881
