brand,domain,sellers,how_decided
Headout,headout.com,maximize,auto: name in address
Healthians,healthians.com,buyhatke;gyftr,auto: name in address
HealthKart,healthkart.com,buyhatke;gyftr;maximize,auto: name in address
Hidesign,hidesign.com,buyhatke;gyftr,auto: name in address
Hindustan Times Premium,hindustantimes.com,gyftr,auto: name in address
Hoichoi,hoichoi.tv,buyhatke;gyftr,auto: name in address
Home,at-home.co.in,buyhatke,auto: name in address
Home Centre Online,homecentre.in,gyftr,auto: name in address
HopInTown Plus,hopintown.com,buyhatke,auto: name in address
Hopscotch,hopscotch.in,maximize,auto: name in address
House of Vaaree,vaaree.com,buyhatke,auto: name in address
Hyperice,hyperice.in,gyftr,auto: name in address
IGP,igp.com,buyhatke;gyftr,auto: name in address
Ikea,ikea.in,gyftr,auto: name in address
Ikea,ikea.com,buyhatke,auto: name in address
Imagine Apple Premium,myimaginestore.com,buyhatke,auto: name in address
Imagine Apple Premium Reseller,myimaginestore.com,maximize,auto: name in address
Innovist,innovist.com,buyhatke,checked by hand
Instafab Plus,instafabplus.com,buyhatke;gyftr,auto: name in address
INTERMILES,intermiles.com,gyftr,auto: name in address
IRCTC,irctc.co.in,gyftr,auto: name in address
Ixigo,ixigo.com,buyhatke;gyftr,auto: name in address
ixigo hotel,ixigo.com,buyhatke;gyftr,auto: name in address
JioHotstar,jiohotstar.com,buyhatke;gyftr;maximize,auto: name in address
Jockey,jockey.in,buyhatke;gyftr,auto: name in address
Jos Alukkas Coin,josalukkasonline.com,buyhatke,auto: name in address
Jos Alukkas Diamond,josalukkasonline.com,buyhatke;maximize,auto: name in address
Jos Alukkas Gold Coin,josalukkasonline.com,maximize,auto: name in address
Jos Alukkas Gold Jewellery,josalukkasonline.com,maximize,auto: name in address
Juicy Couture BAGLINE,bagline.com,buyhatke,auto: name in address
Just Lil Things,justlilthings.in,buyhatke;maximize,auto: name in address
KALKI,kalkifashion.com,gyftr,auto: name in address
Kalyan Diamond,kalyanjewellers.net,buyhatke,auto: name in address
Kalyan Gold Jewellery,kalyanjewellers.net,buyhatke,auto: name in address
Kama Ayurveda,kamaayurveda.in,buyhatke;gyftr,auto: name in address
Ketan Diamonds - Diamond Only,ketandiamonds.com,buyhatke;gyftr;maximize,auto: name in address
Ketan Diamonds - Gold Coin,ketandiamonds.com,buyhatke;gyftr;maximize,auto: name in address
Ketan Diamonds - Gold Jewellery,ketandiamonds.com,buyhatke;gyftr;maximize,auto: name in address
KFC,kfc.co.in,gyftr,auto: name in address
KFC,online.kfc.co.in,buyhatke,auto: name in address
