"Merchant","Category","Campaign Type","Payout Structure","Campaign Status","Tracking Link"
"Medibuddy (Lab Test)","Medical & Healthcare","CPS_SALE","Flat ₹90 / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps_sale&url=https://www.medibuddy.in"
"MILTON","Home & Kitchen","CPS","Flat 10.8% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.milton.in/"
"mivi","Electronics","CPS","Flat 7.2% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.mivi.in/"
"Mobikwik Recharge","Online Services","CPS","Upto 6.38% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.mobikwik.com/"
"Moglix","Electronics","CPS","Flat 4.32% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.moglix.com"
"Money Control PL","Banking & Finance","CPL","Upto  ₹150 / Lead
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpl&url=https://www.moneycontrolpay.com/"
"Moneyview","Banking & Finance","CPA","Upto  ₹512 / Action
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://moneyview.in"
"Muscle Blaze","Sports & Fitness","CPS","Flat 5.04% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.muscleblaze.com/"
"Muscletech","Sports & Fitness","CPS","Flat 6.4% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.muscletech.in/"
"My Muse","Health & Beauty","CPS","Flat 10.8% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://mymuse.in/"
"My11Circle","Entertainment,Gaming","CPA","Upto ₹400 / Action
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://www.my11circle.com"
"MyFlowerApp","Gifting & Toys","CPS","Flat 24.04% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.myflowerapp.com/"
"MyGlamm","Health & Beauty","CPS","Flat 13.6% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.myglamm.com"
"Myntra","Fashion & Apparels","CPS","Upto 7.2% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.myntra.com"
"Myteam11 CPR","Gaming","CPA","Flat ₹32 / Action
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://www.myteam11.com/"
"Naaptol","Electronics,Fashion & App..","CPS","Flat ₹68 / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.naaptol.com/"
"Navi UPI","Banking & Finance","CPL","Upto ₹6.4 / Lead
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpl&url=https://navi.com/navi-upi"
"Neeman's","Fashion","CPS","Flat 8.5% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://neemans.com/"
"Netflix","Entertainment","CPS","Flat ₹80 / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.netflix.com"
"Neuherbs","Food & Grocery,Health & B..","CPS","Flat 14.4% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://neuherbs.com/"
"Newchic","Fashion","CPS","Upto 14.4% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.newchic.com/"
"Nike","Fashion","CPS","Flat 0.62% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.nike.com/in/"
"Nilkamal Sleep","Home & Kitchen","CPS","Flat 12% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.nilkamalsleep.com/"
"Niyox Saving Account","Banking & Finance,Online..","CPA","Upto ₹152 / Action
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://www.goniyo.com/niyox-equitas/"
"NMIMS MBA","Education","CPL","Upto  ₹280 / Lead
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpl&url=https://campaign.online.nmims.edu/mba-online-programme-campaign-otp"
"Nnnow","Fashion,Health & Beauty","CPS","Flat ₹160 / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.nnnow.com/"
"Noise","Electronics","CPS","Flat 5.76% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.gonoise.com/"
"Nord Vpn","Others","CPS","Upto 56% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://nordvpn.com/"
"Nua","Health & Beauty","CPS","Flat 19.2% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://nuawoman.com/"
"Nykaa Beauty","Health & Beauty","CPS","Upto 5.44% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.nykaa.com/"
"Nykaa Fashion","Fashion","CPS","Upto 5.44% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.nykaafashion.com/"
"Ola","Travel","CPS","Flat 4% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.olacabs.com/"
"Opinion World","Education","CPL","Flat ₹128 / Lead
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpl&url=https://www.opinionworld.in/"
"Oppo","Electronics","CPS","Upto 3.4% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.oppo.com/in/store"
"Oziva","Health & Beauty","CPS","Upto 13.6% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.oziva.in/"
"P N Gadgil Jewellers","Jewelery","CPS","Upto 1.75% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.pngjewellers.com/"
"P&G","Health & Beauty","CPS","Flat 8.29% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://pgshop.in/exciting-offers"
"Paisa Bazaar PL","Banking & Finance","CPL","Flat ₹640 / Lead
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpl&url=https://www.paisabazaar.com/personal-loans"
"PaisaBazaar Credit Score","Banking & Finance","CPR","Flat ₹14 / Register
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpr&url=https://creditreport.paisabazaar.com/credit-report/apply"
"Paisabazaar PL {App} CPR","Banking & Finance","CPR_APP","Flat ₹64 / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpr_app&url=https://creditreport.paisabazaar.com/"
"PantProject","Fashion","CPS","Flat 9.6% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://pantproject.com/"
"Paytm Mall ","Electronics,Fashion & App..","CPS","Upto 16% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://paytmmall.com"
"Paytm Money (CPA)","Banking & Finance","CPA","Flat ₹455 / Action
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://www.paytmmoney.com/"
"Peepul Tree","Home & Kitchen","CPS","Flat 3.6% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.peepultree.world/"
"Pelago","Travel","CPS","Upto 6.8% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.pelago.com/en-IN/"
"Pepe Jeans","Fashion","CPS","Flat 12% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.pepejeans.in/"
"Pepperfry","Home & Kitchen","CPS","Upto 3.92% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.pepperfry.com"
"Perfora","Health & Beauty","CPS","Upto 12.4% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://perforacare.com/"
"PharmEasy","Medical & Healthcare","CPS","Upto ₹306 / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://pharmeasy.in"
"Pharmeasy CPT","Health & Beauty","CPT","Upto ₹168 / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpt&url=https://pharmeasy.in"
"Philips","Electronics","CPS","Flat 4.4% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.domesticappliances.philips.co.in/"
"Pizza Hut_App","Food & Grocery","CPA","Flat ₹40 / Action
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://pizzahutuniversal.app.link"
"Plum Goodness","Health & Beauty","CPS","Upto 14.4% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://plumgoodness.com/collections/all-in-stock"
"Protouch","Health & Beauty","CPS","Flat 10.4% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://protouchskin.com/"
"Pure Nutrition","Health & Beauty","CPS","Upto 16.8% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://purenutrition.in/"
"Purplle","Health & Beauty","CPI","Flat ₹11 / Install
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpi&url=https://www.purplle.com"
"Quillbot","Others","CPS","Upto 14% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://quillbot.com/"
"R for Rabbit","Baby & Kids","CPS","Flat 8% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://rforrabbit.com/"
"Rage Coffee","Food & Grocery","CPS","Flat 20% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://ragecoffee.com"
"Realme","Electronics","CPS","Upto 1.36% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.realme.com/in/"
"Redrail","Travel","CPS","Flat ₹50.4 / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://redrails.app.link"
"Reebok","Fashion","CPS","Flat 18.4% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://reebok.abfrl.in/"
"Reliance Digital","Electronics,Online Servic..","CPS","Upto 2.88% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.reliancedigital.in"
"Royal Sundaram Insurance","Online Services","CPS","Flat 44% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.royalsundaram.in/car-insurance"
"RummyCircle","Gaming","CPA","Upto ₹700 / Action
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://www.rummycircle.com/play-online-rummy-fs-10000-noreg-log.html"
"Rupee 112","Banking & Finance","CPR","Upto  ₹48 / Register
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpr&url=https://www.rupee112.com/"
"Rush By Hike","Gaming","CPR","Upto ₹24 / Register
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpr&url=https://www.getrushapp.com/"
"Saadaa","Fashion","CPS","Flat 6.4% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://saadaa.in/"
"Salty","Jewelery","CPS","Flat 10.8% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://salty.co.in/"
"Samsonite","Fashion","CPS","Flat 11.52% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.samsonite.in/offers/"
"SBI Cashback","Banking & Finance","CPA_CB","Flat ₹2160 / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa_cb&url=https://www.sbicard.com"
"SBI Credit Card (Simply Click)","Banking & Finance","CPA_LEAD","Flat ₹2160 / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa_lead&url=https://www.sbicard.com"
"SBM Credit Card","Banking & Finance","CPA","Flat ₹1100 / Action
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://customer.credilio.in"
"Scapia Credit Card","Banking & Finance","CPA","Flat ₹760 / Action
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://apply.scapia.cards/"
"Secret Alchemist","Health & Beauty","CPS","Flat 8% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://secretalchemist.com/"
"ServerByt","Domain & Hosting","CPS","Flat 20% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://serverbyt.in/offers"
"Shoppers Stop","Fashion","CPS","Flat 16% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.shoppersstop.com/"
"Shopsy","Baby & Kids,Electronics,G..","CPS","Upto 6.8% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.shopsy.in/"
"Shriram Finance","Banking & Finance","CPA","Flat 2.5% / Action
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://www.shriramfinance.in/"
"shyaway","Fashion","CPS","Flat 28.8% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.shyaway.com/"
"Shyft Yoga ","Health & Beauty","CPA","Flat 100% / Action
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://betheshyft.com/"
"SignNow","Others","CPS","Upto ₹44800 / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.signnow.com/"
"Sirona","Health & Beauty","CPS","Flat 19.2% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.thesirona.com/"
"Skyscanner","Travel","CPC","Flat ₹3.2 / Click
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpc&url=https://www.skyscanner.co.in"
"Sleepwell","Home & Kitchen","CPS","Flat 9.6% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://mysleepwell.com/"
"Smallcase","Banking & Finance,Online..","CPL","Flat ₹640 / Lead
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpl&url=https://www.smallcase.com/"
"Smytten","Health & Beauty","CPS","Upto 5.6% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://smytten.com/"
"Snapdeal","Baby & Kids,Books,Electro..","CPS","Upto 7.84% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.snapdeal.com"
"Soch","Fashion","CPS","Flat 8% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.soch.com/in/"
"Sonyliv","Entertainment","CPL","Upto ₹80 / Lead
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpl&url=https://www.sonyliv.com/"
"Soulflower","Health & Beauty","CPS","Flat 9.36% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.soulflower.in/"
"Soulfull","Food & Grocery","CPS","Upto 20.4% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.soulfull.co.in/"
"Soxytoes","Fashion","CPS","Flat 24% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://soxytoes.com/"
"Spankers","Fashion","CPS","Flat 7.2% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://spankersindia.com/"
"Spinny Sell Car","Online Services,Automobil..","CPL","Upto ₹10120 / Lead
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpl&url=https://www.spinny.com/sell-used-caar"
"SSLs","Domain & Hosting","CPS","Flat 28% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.ssls.com/"
"Stable Money","Banking & Finance","CPL","Flat ₹800 / Lead
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpl&url=https://stablemoney.in/"
"Star Health","Online Services","CPS","Upto  ₹2800 / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.starhealth.in/lp/health-insurance-v1/"
"Steve Madden","Fashion","CPS","Flat 6.8% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.stevemadden.in/"
"StockEdge ","Banking & Finance","CPS","Flat 16.8% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://stockedge.com"
"Styched","Fashion","CPS","Flat 28% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.styched.in/"
"Sugarpop","Health & Beauty","CPS","Flat 11.2% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.sugarpop.com/"
"Super Bottoms","Baby & Kids","CPS","Upto 10.08% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://superbottoms.com/"
"Super.com","Travel","CPS","Flat 2.32% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.super.com/travel"
"Suvasa","Fashion","CPS","Flat 2.8% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://suvasa.in/"
"Swiggy","Food & Grocery","CPS","Upto ₹22.4 / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.swiggy.com/"
"Swiggy App","Food & Grocery","CPA","Upto ₹24 / Action
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://www.swiggy.com/"
"Swiss Beauty","Health & Beauty","CPS","Flat 18.4% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://swissbeauty.in/collections/all"
"Swisse","Health & Beauty","CPS","Upto 13.6% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://swisse.co.in/"
"Symphony","Electronics","CPS","Flat 13.6% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://shop.symphonylimited.com/"
"TATA AIG Car Insurance","Banking & Finance","CPS_SALE","Flat 46.75% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps_sale&url=https://www.tataaig.com/buy-online/motor-insurance/car-insurance"
"Tata Neu App","Electronics,Fashion","CPS","Upto ₹152 / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.tatadigital.com/"
"TataCliq","Fashion","CPS","Flat 3.4% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.tatacliq.com/"
"TecSox","Electronics","CPS","Flat 8% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://tecsox.com/"
"Ten X You","Fashion","CPS","Flat 7.2% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://tenxyou.com/festive/most-loved"
"Terabox","Online Services","CPR","Upto  ₹3 / Register
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpr&url=https://www.1024tera.com/"
"The Artment","Home & Kitchen","CPS","Flat 6.4% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://theartment.com/"
"The Hindu","Entertainment","CPS","Flat 40.8% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.thehindu.com/subscription/"
"The Natural Wash","Health & Beauty","CPS","Flat 10.8% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.thenaturalwash.com/"
"The Panel Station","Online Services","CPL","Upto ₹70.05 / Lead
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpl&url=https://join.thepanelstation.com/"
"The Souled Store","Fashion","CPS","Upto ₹108 / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.thesouledstore.com/"
"TheManCompany","Health & Beauty","CPS","Flat 13.89% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.themancompany.com/"
"Thrillophilia","Travel","CPS","Upto ₹2160 / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.thrillophilia.com"
"Tide App","Online Services","CPA","Flat ₹326.04 / Action
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://www.tide.co/en-IN/"
"Times Prime","Online Services","CPA","Flat ₹196 / Action
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://www.timesprime.com/new-campaign/n33new"
"Timex","Fashion","CPS","Flat 8% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://shop.timexindia.com/"
"Titan Skinn","Health & Beauty","CPS","Flat 14.4% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.skinn.in/shop/collections"
"Toluna - Genpop Survey (App) ","Online Services","CPA","Flat ₹50.03 / Action
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://in.toluna.com/Register/RegisterPanelTeam"
"Traya","Medical & Healthcare","CPS","Flat 20% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://traya.health/"
"TrueBasics","Health & Beauty","CPS","Flat 7.2% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.truebasics.com/"
