"Merchant","Category","Campaign Type","Payout Structure","Campaign Status","Tracking Link"
"Buy Indus Valley","Health & Beauty","CPS","Flat 16.8% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.buyindusvalley.in"
"Bytepe","Electronics,Fashion","CPS","Upto 1.68% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.bytepe.com/"
"Cahoot","Fashion","CPS","Upto 9.6% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://cahoot.in/collections/men-bestsellers"
"Calvin Klein","Fashion","CPS","Flat 5.6% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.calvinklein.com/"
"Campus Shoes","Fashion","CPS","Flat 12% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.campusshoes.com/"
"CanvasChamp","Gifting & Toys","CPS","Flat ₹160 / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.canvaschamp.in/"
"CarInfo","Automobiles","CPS","Flat 75 / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.carinfo.app/service-history"
"Carlton London",",Fashion","CPS","Flat 8.16% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://carltonlondon.co.in/"
"Cars24 (Buy)","Services","CPL","Flat ₹900 / Lead
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpl&url=https://www.cars24.com/buy-used-car/"
"Cars24 (Sell)","Online Services","CPL_SELL","Flat ₹800 / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpl_sell&url=https://www.cars24.com/"
"Cashify ","Electronics,Services","CPS","Flat ₹504 / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.cashify.in/buy-refurbished-gadgets"
"Charles & Keith","Fashion","CPS","Flat 2.8% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.charleskeith.in/in"
"Cheapoair","Travel","CPS","Upto ₹1035 / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.cheapoair.com/"
"Chumbak","Fashion,Home & Kitchen","CPS","Flat 9.6% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.chumbak.com/"
"Cibil Score","Others","CPL","Upto  ₹28 / Lead
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpl&url=https://www.cibil.com/"
"Citibank Credit Card","Banking & Finance","CPA","Upto ₹2401 / Action
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://www.online.citibank.co.in/credit-card/apply"
"Clarks","Fashion","CPS","Flat 6.8% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.clarks.in/"
"Cleartrip","Travel","CPS","Flat ₹288 / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.cleartrip.com/flights"
"Cloudways","Domain & Hosting","CPS","Flat ₹2415 / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.cloudways.com/en/"
"Clovia","Fashion","CPS","Flat 10.8% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.clovia.com/"
"CodeCanyon","Online Services","CPS","Flat 12% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://codecanyon.net"
"CoinSwitch","Banking & Finance,Online..","CPA","Upto  ₹320 / Action
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://coinswitch.co/"
"Coitonic","Fashion","CPS","Flat 8% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://coitonic.com/"
"CosIQ","Health & Beauty","CPS","Flat 9.6% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://mycosiq.com//"
"Coursera","Education","CPS","Upto 3.52% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.coursera.org"
"Cred","Banking & Finance","CPA_ANDROID","Upto ₹280 / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa_android&url=https://www.cred.club/"
"CreditLinks","Banking & Finance","CPA","Flat 1.25% / Action
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://loans.creditlinks.in/jIQoBOrt"
"CreditMantri","Banking & Finance","CPL","Flat ₹24 / Lead
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpl&url=https://www.creditmantri.com/campaign/equifax/credit-score/"
"Creditt+","Banking & Finance","CPA","Flat ₹900 / Action
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://loan.credittnow.com/"
"Croma","Electronics","CPS","Upto 3.2% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.croma.com/"
"DBS Digibank","Banking & Finance","CPA","Upto  ₹280 / Action
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://www.dbs.com/"
"DCYPHR","Fashion","CPS","Flat 24% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://dcyphr.in/"
"De Novoo","Fashion","CPS","Flat 12.8% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://de-novoo.com/"
"Dell","Electronics","CPS","Upto 7.2% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.dell.com/en-in"
"Denver","Health & Beauty","CPS","Flat 20% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://denverformen.com/"
"DHgate","Accessories,Electronics","CPS","Upto 7.2% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.dhgate.com"
"Dish TV","Entertainment,Online Serv..","CPA","Flat ₹480 / Action
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://www.dishtv.in/"
"Disney+Hotstar","Entertainment","CPS","Upto ₹56 / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.hotstar.com"
"DocsApp","Online Services","CPS","Upto ₹700 / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://m.docsapp.in/"
"Domino's App","Food & Grocery","CPFT","Upto ₹28 / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpft&url=https://play.google.com/store/apps/details?id=com.Dominos&hl=en_IN&gl=US"
"Dot & Key","Health & Beauty","CPS","Upto 11.52% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.dotandkey.com/"
"Dressfolk","Fashion","CPS","Flat 20% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://dressfolk.com/collections/sarees"
"Dunkin Donuts","Food & Grocery","CPS","Flat ₹300.24 / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=http://dunkinindia.com/"
"Durex","Health & Beauty","CPS_DUREX","Flat 17.6% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps_durex&url=https://www.durexindia.com/"
"Dyson India","Electronics","CPS","Flat 2.24% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.dyson.in/"
"Earth Rhythm","Health & Beauty","CPS","Flat 14.4% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://earthrhythm.com/"
"Elementor","Domain & Hosting","CPS","Upto  24.5% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://elementor.com/"
"Elver ","Electronics","CPS","Flat 14% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://elver.in/"
