Brand Name,Slug,Redemption Type,Default Discount %,Best Discount %,Payment Method for Best Discount,Denominations Available,Online/Offline,T&Cs Summary
Daily Objects,daily-objects,ON,12,12,PAYTM UPI,250 / 500 / 1000 / 2000,Online,Gift Vouchers CAN be used Online at www.dailyobjects.com & DailyObjects App. Gift Vouchers CAN be cl
Auric,auric,ON,0,0,,250 / 500,Online,This is a AURIC Gift Voucher (GV) and would be accepted only on the website. Only 1 Gift Voucher can
Hyperice,hyperice,ON,0,0,,,Online,Offer is valid on all products. This is a one-time use GV / GC. Voucher can not be clubbed. Voucher 
Amazon Shopping Voucher,amazon-shopping-voucher,ON,0,0,,100 / 250 / 500 / 1000 / 2000 / 5000 / 10000,Online,Amazon Shopping Voucher can be redeemed online at www.amazon.in/vouchers Amazon Shopping Voucher can
Freecultr,freecultr,ON,20,20,PAYTM UPI,500 / 1000,Online,Gift vouchers CAN be used online at Freecultr Website Gift Vouchers CANNOT be clubbed with ongoing p
Troll Beads,troll-beads,ON,0,0,,,Online,Trollbeads vouchers shall be redeemable on the website. This is a one-time usage voucher. Only One v
V Mart,v-mart,OFF,0,0,,5000,Offline,Gift Vouchers are accepted at all Listed Outlets. Multiple Gift Vouchers CAN be used in one bill at 
Airtel Xstream,airtel-xstream,ON,0,0,,,Online,The GV/GC will be accepted on the official mobile application/website at airtelxstream.in. The GV/GC
Wynk Music,wynk-music,ON,0,0,,,Online,This offer is not transferable and cannot be clubbed with any other offer. Offer is available on mon
Nykaa,nykaa,B,5,5,PAYTM UPI,500 / 1000 / 1500 / 2000 / 5000 / 10000,Both,You can redeem only 1 Gift Card per order. Gift Vouchers CAN be used during Sale. Gift Vouchers ACCE
FITPASS,fitpass,ON,22,22,PAYTM UPI,500 / 1000 / 2000 / 100-10000 (custom),Online,This is a FITPASS Gift Voucher (GV) and would be accepted only on FITPASS app. Standard FITPASS term
Zomato Gift Card,zomato-gift-card,ON,0,0,,,Online,The GV/GC can be accepted only on the Zomato App. The GV/GC can be used for Multiple Transactions. T
SWISS BEAUTY,swiss-beauty,ON,15,15,Credit Card,,Online,SWISS BEAUTY Gift Vouchers are valid only at website. Multiple GV’s cannot be clubbed in one bill/tr
HealthifyMe Smart Plan,healthifyme-smart-plan-3-months,ON,0,0,,,Online,You can redeem only 1 Gift Card per order. Gift Vouchers CAN be used during Sale. HeathifyMe Gift Vo
American Tourister,american-tourister,OFF,5.5,5.5,PAYTM UPI,1000 / 2000 / 5000 / 7500 / 10000 / 1000-10000 (custom),Offline,Multiple Gift Vouchers CAN be used in one bill. Gift Vouchers CAN be used during Sale. Gift Vouchers
Samsonite,samsonite,OFF,5.5,5.5,PAYTM UPI,1000 / 2000 / 5000 / 7500 / 10000 / 1000-10000 (custom),Offline,Multiple Gift Vouchers CAN be used in one bill. Gift Vouchers CAN be used during Sale. Gift Vouchers
Tanishq Gold Jewellery,tanishq-gold-jewellery,OFF,1,1,PAYTM UPI,1000 / 2000 / 5000,Offline,Multiple Gift Vouchers CAN be used in one bill. Gift Vouchers CAN be clubbed with on-going promotion
Renee Cosmetics,renee-cosmetics,ON,15,15,PAYTM UPI,,Online,This is a Renee Cosmetics Insta Gift Voucher (GV) / Gift Card (GC) and would be accepted on the webs
Discovery Plus,discovery-plus,ON,0,0,,499,Online,You CANNOT activate the Gift Voucher on iOS App. Gift Voucher can be activated on Android app and th
Superbottoms,superbottoms,ON,15,15,PAYTM UPI,1000 / 2000,Online,You can redeem only 1 Gift Card per order. Gift Vouchers CAN be used during Sale. SuperBottoms Gift 
Smile Foundation,smile-foundation,ON,0,0,,500 / 1000 / 2000 / 5000 / 100-10000 (custom),Online,This is a ‘Smile Foundation’ Donation Voucher (DV) and CAN only be used at the website. The donation
Max Fashion Online,max-fashion-online,ON,9,9,PAYTM UPI,500,Online,This is a 16-digit gift card which comes with a 4-digit pin Max Online E-Gift Cards are redeemable t
Cleartrip Hotel,cleartrip-hotel,ON,17,17,PAYTM UPI,1000 / 2000 / 10000,Online,Maximum of 15 Gift Cards in a single booking for Hotels booking. GV/GC can be redeemed online on www
Cleartrip,cleartrip-generic,ON,6.5,6.5,PAYTM UPI,1000 / 7500,Online,Maximum of 15 Gift Cards in a single booking for Hotels / Flights booking. GV/GC can be redeemed onl
HealthKart,healthkart,B,12,12,PAYTM UPI,1000 / 2000,Both,"HealthKart Insta Gift Voucher and would be accepted only at HealthKart.com, app & listed stores. Mul"
The Skin Story,the-skin-story,ON,0,0,,,Online,Gift Vouchers can only be used at the skin story.in Gift Vouchers cannot be revalidated One Gift vou
Shiv Naresh,shiv-naresh,ON,0,0,,,Online,Gift Vouchers can be used Online. Only One Gift Voucher can be used in one bill. Gift Vouchers can b
Assembly,assembly,ON,14,14,PAYTM UPI,100 / 500 / 1000 / 2000 / 2500 / 5000,Online,Gift voucher would be accepted on assemblytravel.com The Gift voucher can only be availed only once 
TEGO,tego,ON,0,0,,1000 / 2000,Online,Gift voucher would be accepted on www.tego.fit Multiple GV/GC can be availed during one transaction 
Nykaa Man,nykaa-man,B,4,4,PAYTM UPI,1000 / 2000 / 5000 / 10000,Both,"You can redeem only 1 Gift Card per order. To redeem Multiple gift cards, please add the gift cards "
Nykaa Fashion,nykaa-fashion,B,4,4,PAYTM UPI,1000 / 2000 / 5000 / 10000,Both,"You can redeem only 1 Gift Card per order. To redeem Multiple gift cards, please add the gift cards "
Chicago Pizza,chicago-pizza,OFF,0,0,,,Offline,This is a Chicago Pizza Gift Voucher (GV) / Gift Card (GC) and is accepted at listed Chicago Pizza o
GIVA Gold Jewellery,giva-gold-jewellery,B,4.5,4.5,PAYTM UPI,500 / 2000 / 2500 / 5000 / 10000,Both,This is a GIVA Insta Gift Voucher (GV) / Gift Card (GC) and would be accepted on the listed outlets 
IRCTC,gv-irctc,ON,0,0,,250 / 500 / 1000 / 100-10000 (custom),Online,Gift Vouchers can be used on the IRCTC website. Multiple Gift Vouchers can be used in one bill. One 
Swiggy One Lite Membership,swiggy-one-lite-membership,ON,0,0,,,Online,"Once the membership is activated, it cannot be cancelled or any refund will not be issued. Swiggy On"
Swiggy Food Discount Voucher,swiggy-food-discount-voucher,ON,12,12,PAYTM UPI,,Online,Offer valid once per user per transaction. Offer valid on all prepaid payment modes. Offer valid for
Wendy's,wendy's,ON,12,12,PAYTM UPI,500 / 1000 / 1500 / 2000 / 100-10000 (custom),Online,EatSure Gift Voucher (GV) issued by their banking partner would be accepted only on the EatSure App/
The Good Bowl,the-good-bowl,ON,12,12,PAYTM UPI,500 / 1000 / 1500 / 2000 / 100-10000 (custom),Online,EatSure Gift Voucher (GV) issued by their banking partner would be accepted only on the EatSure App/
HP Pay,hppay,OFF,0,0,,500 / 1000 / 1500 / 2000,Offline,Multiple vouchers can be used in one transaction HP Pay Insta Gift Voucher (GV) / Gift Card (GC) and
Tata CliQ Luxury,tata-cliq-luxury,ON,9.5,9.5,PAYTM UPI,500 / 1000 / 2000 / 5000 / 7500 / 10000,Online,The GV/GC can be accepted on&nbsp;their Website (&nbsp; www.tataCLiQ.com and&nbsp;&nbsp; luxury.tata
IGP,igp,ON,18,18,PAYTM UPI,500 / 1000 / 2000,Online,IGP GV/GC would be acceptable on the website at igp.com & App. Multiple Vouchers can be used against
MakeMyTrip e-Pay,makemytrip-e-pay,ON,7.5,7.5,PAYTM UPI,500 / 1000 / 2000 / 5000 / 10000,Online,Gift Vouchers/e-Pay CAN be used on the MakeMyTrip website and app. Gift Vouchers/e-Pay CAN be used t
MakeMyTrip Holiday e-Pay,makemytrip-holiday-e-pay,ON,13.5,13.5,PAYTM UPI,1000 / 5000 / 10000,Online,Gift Vouchers/e-Pay CAN be used on the MakeMyTrip website and app. Gift Vouchers/e-Pay CAN be used t
MakeMyTrip Hotel e-Pay,makemytrip-hotel-e-pay,ON,14.5,14.5,PAYTM UPI,1000 / 2000 / 5000 / 10000,Online,Gift Vouchers/e-Pay CAN be used on the MakeMyTrip website and app. Gift Vouchers/e-Pay CAN be used t
Reliance Jio Mart,reliance-jio-mart,ON,0,0,,250 / 750 / 1000 / 1500,Online,Multiple vouchers CANNOT be used in one transaction The GV/GC can be redeemed only once. Any unused 
Cult Gift Card,cult-gift-card,ON,2,2,Credit Card,250 / 1000 / 1500 / 2000 / 2500,Online,The GV/GC can be redeemed only on the Cult App and not on the Cult store or Cult website. GV/GC can 
Mamaearth,mamaearth,ON,15,15,PAYTM UPI,,Online,This E-Gift Cards are valid only at mamaearth.in (website). E-Gift Card cannot be exchanged for Cash
Marks & Spencer,marks-&-spencer,B,10,10,PAYTM UPI,1000 / 2000 / 5000 / 7500 / 10000 / 100-10000 (custom),Both,"Gift Vouchers are ACCEPTED on the website, app, and all listed outlets. Gift Vouchers CAN be used du"
Fashion Factory,fashion-factory,OFF,5,5,PAYTM UPI,500 / 1000 / 2000 / 3000 / 5000,Offline,Gift Vouchers CAN be used to buy discounted products Multiple Gift Vouchers CAN be used in one bill 
Muthoot Gold Voucher,muthoot-gold-voucher,ON,2,2,PAYTM UPI,2000 / 5000,Online,This is a Muthoot Exim GV/GC (Gift Voucher/Gift Card) that will be accepted only on the website. GV/
Woggles,woggles,ON,20,20,PAYTM UPI,100-10000 (custom),Online,This is a Woggles e-Pay Gift Voucher (GV) / Gift Card (GC) and would be accepted on the website at w
INTERMILES,intermiles,ON,0,0,,,Online,Gift Vouchers CAN be used at website & on app. Users can redeem upto 50% of their Miles per transact
Shopy Vision,shopy-vision,ON,0,0,,500 / 1000 / 5000,Online,This is a Shopy Vision Gift Voucher (GV) and would be accepted on their website. Only 1 GV can be us
GRT Jewellers,grt-jewellers,OFF,0,0,,1000 / 2500 / 5000 / 10000 / 100-10000 (custom),Offline,This is a GRT Gift Voucher (GV) and would be accepted on all the outlets listed at grtjewels.com/sto
Bakingo,bakingo,ON,20,20,PAYTM UPI,250 / 500 / 1000,Online,Only one Gift Voucher CAN be used against one bill. Gift Vouchers CANNOT be used multiple times. Gif
Flower Aura,flower-aura,ON,20,20,PAYTM UPI,500 / 1000 / 2000,Online,Only one GV/GC CAN be used against one bill. This is a one-time use GV/GC. Gift Vouchers CANNOT be u
Quick Heal,quick-heal,ON,25,25,Credit Card,,Online,The Gift Voucher/Gift Card (GV/GC) would only be accepted on the official website. Only One GV/GC ca
Ixigo,ixigo,ON,8.5,8.5,PAYTM UPI,500 / 1000 / 2000,Online,Gift Vouchers CAN be used at ixigo website & on app. GV/GC cannot be clubbed with existing offers. T
VROTT,vrott,ON,42,42,Credit Card,599,Online,Gift Vouchers CAN Only be used at https://vrott.tv/ and their app. Only 1 Gift Voucher can be used i
DPauls Travel & Tours,dpauls-travel-&-tours,ON,0,0,,2000 / 5000 / 10000,Online,You can redeem only 1 Gift Card for Flight Booking. You can redeem only 3 Gift Cards for Package/ Ho
Amazon Fresh,amazon-fresh,ON,1.5,1.5,PAYTM UPI,500 / 1000 / 2000,Online,Gift Vouchers CAN only be used Online at www.amazon.in/fresh. Gift Vouchers CANNOT be transferred fo
Campus,campus,B,10,10,PAYTM UPI,500 / 1000 / 2000 / 100-10000 (custom),Both,This is a Campus Gift Voucher (GV)/e-Pay can be accepted Online & at listed stores. Multiple GV/GCs 
BPCL SmartDrive Fuel e-voucher,-bpcl-,OFF,0,0,,250 / 500 / 1000 / 2000,Offline,This BPCL Fuel Voucher can only be redeemed by adding it to SmartDrive in the “HelloBPCL” mobile app
Amazon Prime Membership,amazon-prime-membership,ON,10,10,Credit Card,399 / 799,Online,Amazon Prime Vouchers cannot be claimed on Amazon Business accounts. Amazon Prime Voucher cannot be 
Aliste,aliste,ON,0,0,,500 / 1000 / 1500 / 2000 / 3000 / 5000 / 100-10000 (custom),Online,The Gift Voucher/Gift Card (GV/GC) would only be accepted on the official website/app. Only One GV/G
Cleartax,cleartax,ON,72,72,PAYTM UPI,6123 / 9998 / 15498,Online,ClearTax Gift Vouchers/Gift Cards (GV/GC) CAN Only be used at https://cleartax.in/ Only 1 GV/GC can 
Spotify,spotify,ON,3,3,PAYTM UPI,,Online,The GV/GC would be accepted on www.spotify.com/redeem only. Only One GV/GC can be used for one subsc
JioHotstar,jio-hotstar,ON,7,7,PAYTM UPI,499 / 1099 / 2199,Online,Gift Vouchers can only be used at https://www.jiohotstar.com/in/redeem Only 1 Gift Voucher can be us
Planet Fashion Gift Voucher,planet-fashion-gift-voucher,OFF,0,0,,,Offline,This is an Aditya Birla Fashion Retail Limited Planet Fashion Gift Voucher (GV) / Gift Card (GC) and
Domino's Pizza,domino's-pizza,ON,16,16,PAYTM UPI,500 / 750,Online,"Gift Vouchers CAN be used for DELIVERY, DINE-IN, TAKEAWAY AND DRIVE N PICK via the Domino’s Mobile A"
Oven Story,oven-story,ON,12,12,PAYTM UPI,250 / 500 / 1000 / 1500 / 2000 / 100-10000 (custom),Online,EatSure Gift Voucher (GV) issued by their banking partner would be accepted only on the EatSure App/
Faasos,faasos,ON,12,12,PAYTM UPI,500 / 1000 / 1500 / 2000 / 100-10000 (custom),Online,EatSure Gift Voucher (GV) issued by their banking partner would be accepted only on the EatSure App/
Lunch Box,lunch-box,ON,10,12,UPI,250 / 500 / 1000 / 1500 / 2000 / 100-10000 (custom),Online,EatSure Gift Voucher (GV) issued by their banking partner would be accepted only on the EatSure App/
VICTORIA'S SECRET BEAUTY,victoria's-secret-beauty,OFF,10,10,Credit Card,500 / 1000 / 1500 / 2000 / 2500 / 3000 / 5000 / 7500 / 10000 / 100-15000 (custom),Offline,Gift Voucher/ e-Pay is ACCEPTED at all Listed Outlets. Gift Voucher/ e-Pay CANNOT be used Online. Gi
VICTORIA'S SECRET,victoria's-secret,OFF,10,10,Credit Card,500 / 1000 / 1500 / 2000 / 2500 / 3000 / 5000 / 7500 / 10000 / 100-10000 (custom) / 100-15000 (custom),Offline,Gift Voucher/ e-Pay is ACCEPTED at all Listed Outlets. Gift Voucher/ e-Pay CANNOT be used Online. Gi
R&B,r&b,OFF,10,10,Credit Card,500 / 1000 / 1500 / 2000 / 2500 / 3000 / 5000 / 7500 / 10000 / 100-10000 (custom) / 100-15000 (custom),Offline,Gift Voucher/ e-Pay is ACCEPTED at all Listed Outlets. Gift Voucher/ e-Pay CANNOT be used Online. Gi
Inglot,inglot,OFF,10,10,Credit Card,500 / 1000 / 1500 / 2000 / 2500 / 3000 / 5000 / 7500 / 10000 / 100-10000 (custom) / 100-15000 (custom),Offline,Gift Voucher/ e-Pay is ACCEPTED at all Listed Outlets. Gift Voucher/ e-Pay CANNOT be used Online. Gi
ALDO,aldo,OFF,10,10,Credit Card,500 / 1000 / 1500 / 2000 / 2500 / 3000 / 5000 / 7500 / 10000 / 100-10000 (custom) / 100-15000 (custom),Offline,Gift Voucher/ e-Pay is ACCEPTED at all Listed Outlets. Gift Voucher/ e-Pay CANNOT be used Online. Gi
Bath & Body Works,bath-&-body-works,OFF,10,10,Credit Card,500 / 1000 / 1500 / 2000 / 2500 / 3000 / 5000 / 7500 / 10000 / 100-15000 (custom) / 100-10000 (custom),Offline,Gift Voucher/ e-Pay is ACCEPTED at all Listed Outlets. Gift Voucher/ e-Pay CANNOT be used Online. Gi
Call it Spring,call-it-spring,OFF,10,10,Credit Card,500 / 1000 / 1500 / 2000 / 2500 / 3000 / 5000 / 7500 / 10000 / 100-10000 (custom) / 100-15000 (custom),Offline,Gift Voucher/ e-Pay is ACCEPTED at all Listed Outlets. Gift Voucher/ e-Pay CANNOT be used Online. Gi
Beverly Hills Polo Club,beverly-hills-polo-club,OFF,10,10,Credit Card,500 / 1000 / 1500 / 2000 / 2500 / 3000 / 5000 / 7500 / 10000 / 100-10000 (custom) / 100-15000 (custom),Offline,Gift Voucher/ e-Pay is ACCEPTED at all Listed Outlets. Gift Voucher/ e-Pay CANNOT be used Online. Gi
CHARLES & KEITH,charles-&-keith,OFF,10,10,Credit Card,500 / 1000 / 1500 / 2000 / 2500 / 3000 / 5000 / 7500 / 10000 / 100-10000 (custom) / 100-15000 (custom),Offline,Gift Voucher/ e-Pay is ACCEPTED at all Listed Outlets. Gift Voucher/ e-Pay CANNOT be used Online. Gi
Pret A Manger-Luxe Gift Card,pret-a-manger-luxe-gift-card,OFF,0,0,,1000 / 2000 / 5000,Offline,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ p
Adidas Kids-Luxe Gift Card,adidas-kids-luxe-gift-card,OFF,0,0,,1000 / 2000 / 5000,Offline,Gift Vouchers are ACCEPTED at Listed Adidas Kids Outlets. Gift Vouchers CANNOT be used on the offici
Bally-Luxe Gift Card,bally-luxe-gift-card,OFF,0,0,,1000 / 2000 / 5000,Offline,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ p
Canali- Luxe Gift Card,canali--luxe-gift-card,OFF,0,0,,1000 / 2000 / 5000,Offline,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ p
EA-7- Luxe Gift Card,ea-7--luxe-gift-card,OFF,0,0,,1000 / 2000 / 5000,Offline,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ p
Giorgio Armani- Luxe Gift Card,giorgio-armani--luxe-gift-card,OFF,0,0,,1000 / 2000 / 5000,Offline,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ p
Hunkemoller- Luxe Gift Card,hunkemoller--luxe-gift-card,B,0,0,,1000 / 2000 / 5000,Both,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ p
Kate Spade- Luxe Gift Card,kate-spade--luxe-gift-card,OFF,0,0,,1000 / 2000 / 5000,Offline,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 30 pa
La Martina- Luxe Gift Card,la-martina--luxe-gift-card,OFF,0,0,,1000 / 2000 / 5000,Offline,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ p
Pottery Barn- Luxe Gift Card,pottery-barn--luxe-gift-card,B,0,0,,1000 / 2000 / 5000,Both,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ p
Malabar Diamonds,malabar-diamonds,B,4,5.5,UPI,2000 / 3000 / 7500 / 10000 / 25000 / 50000,Both,Gift Vouchers are ACCEPTED at Listed Outlets. Gift Vouchers CAN be used on the official Malabar webs
Malabar Jewellery,malabar-jewellery,B,3,4,UPI,2000 / 5000 / 7500 / 10000 / 25000 / 50000,Both,Gift Vouchers are ACCEPTED at Listed Outlets. Gift Vouchers CAN be used on the official Malabar webs
