Brand Name,Slug,Redemption Type,Default Discount %,Best Discount %,Payment Method for Best Discount,Denominations Available,Online/Offline,T&Cs Summary
ixigo hotel,ixigo-hotel,ON,0,0,,,Online,The GV/GC can only be redeemed on the ixigo app and www.ixigo.com. This is a one-time use GV/GC. The
AJIO,ajio,ON,5,5,PAYTM UPI,500 / 1000 / 2000 / 5000,Online,Gift Voucher/Gift Card (GV/GC) can be used online on the Mobile App and the Website. This is a one-t
Lionsgate Play,lions-gate,ON,23,23,PAYTM UPI,799,Online,The GV/GC will only be accepted on the website: lionsgateplay.com/paymentlanding & app. This is a on
IOCL,iocl,OFF,0,0,,500 / 1000 / 2000 / 5000,Offline,The GV/GC will be accepted only at IOCL Retail Outlets. This is a one-time use GV/GC. Any remaining 
Yatra Hotel Gift Card,yatra-hotel-gift-card,ON,13,13,PAYTM UPI,500 / 1000 / 2000 / 5000,Online,The GV/GC is accepted only online on the mobile application and on the website www.yatra.com . The G
Philips,philips,ON,10,10,PAYTM UPI,500 / 1000 / 2000 / 5000,Online,The GV (Gift Voucher)/e-Pay will be accepted on the mobile app and on the website at https://domesti
Zouk,zouk,ON,13,13,PAYTM UPI,500 / 1000 / 2000 / 100-10000 (custom),Online,Gift Vouchers/e-Pay CAN be used on the Zouk website. Gift Vouchers/e-Pay CAN be used to buy discount
Wellbeing Nutrition,wellbeing-nutrition,ON,14,14,PAYTM UPI,500 / 1000 / 2000 / 5000 / 10-10000 (custom),Online,GV/GC will be accepted on the website via this URL: wellbeingnutrition.com . Multiple Gift Vouchers 
DOMINO'S,dominos,ON,17,17,PAYTM UPI,100 / 250 / 500 / 1000 / 1500 / 2000 / 2500 / 5000 / 100-10000 (custom),Online,The GV/e-Pay can be used only on the Domino’s India Mobile App and cannot be redeemed directly at Do
Milkbasket,milkbasket,ON,3,3,PAYTM UPI,100 / 500 / 1000 / 2000,Online,The GV/e-Pay will be accepted on the mobile app. The GV/e-Pay can be clubbed with the existing offer
Lohono Stays,lohono-stays,ON,11,11,PAYTM UPI,500 / 1000 / 2000 / 5000 / 10000 / 100-10000 (custom),Online,Lohono GV/e-Pay can only be redeemed online at http://www.lohono.com. Multiple GVs can be combined i
